text,image_path
a woman with a plaid shirt and denim overalls,Fashion_images/image_0.jpg
a man wearing a blue shirt and jeans,Fashion_images/image_1.jpg
a man in a black t - shirt and ripped jeans,Fashion_images/image_2.jpg
a young man wearing a blue and red t - shirt,Fashion_images/image_3.jpg
a man in a black hoodie and white ripped jeans,Fashion_images/image_4.jpg
a man with a tattoo on his arm wearing a tank top,Fashion_images/image_5.jpg
a young man in a striped hoodie poses for a picture,Fashion_images/image_6.jpg
a man in a red and blue checkered shirt and khaki pants,Fashion_images/image_7.jpg
a woman wearing a pink blouse and jeans,Fashion_images/image_8.jpg
a woman in a black and white striped top,Fashion_images/image_9.jpg
a woman wearing a hat and a cardigan sweater,Fashion_images/image_10.jpg
a woman in a black shirt and plaid shirt,Fashion_images/image_11.jpg
a woman in white pants and a black top,Fashion_images/image_12.jpg
a man in a black sweater and black pants,Fashion_images/image_13.jpg
a woman wearing a purple coat and white dress,Fashion_images/image_14.jpg
a woman in a blue top and black shorts,Fashion_images/image_15.jpg
a man in a white t - shirt and ripped jeans,Fashion_images/image_16.jpg
a man wearing a black sweatshirt with a bandana print on it,Fashion_images/image_17.jpg
a man wearing a white shirt and a black tie,Fashion_images/image_18.jpg
a man in a black v - neck shirt and jeans,Fashion_images/image_19.jpg
a man wearing a blue and white tank top,Fashion_images/image_20.jpg
a young man standing with his arms crossed,Fashion_images/image_21.jpg
a man in a white tank top and black pants,Fashion_images/image_22.jpg
a woman in a striped shirt and denim shorts,Fashion_images/image_23.jpg
a man in a white shirt and red shorts,Fashion_images/image_24.jpg
a woman in a black and white shirt and black pants,Fashion_images/image_25.jpg
a woman in a floral romper and sandals poses for a picture,Fashion_images/image_26.jpg
a man in a tank top and pants posing for a picture,Fashion_images/image_27.jpg
a woman wearing a cropped top and jeans,Fashion_images/image_28.jpg
a man in a red shirt and blue shorts,Fashion_images/image_29.jpg
a woman in a white shirt and black leather shorts,Fashion_images/image_30.jpg
a woman in a green dress poses for a picture,Fashion_images/image_31.jpg
a man in a white shirt and khaki pants,Fashion_images/image_32.jpg
a man in a los lakers sweatshirt posing for a picture,Fashion_images/image_33.jpg
a woman in a white coat and black boots,Fashion_images/image_34.jpg
a woman wearing a tan sweater and jeans,Fashion_images/image_35.jpg
a man sitting on top of a metal stool,Fashion_images/image_36.jpg
a man wearing a black tank top and khaki pants,Fashion_images/image_37.jpg
a man in a rolling stones t - shirt poses for a picture,Fashion_images/image_38.jpg
a beautiful young woman posing for a picture,Fashion_images/image_39.jpg
a woman in a short dress posing for a picture,Fashion_images/image_40.jpg
a man wearing a baseball cap and a t - shirt,Fashion_images/image_41.jpg
a woman wearing a blue top and tan shorts,Fashion_images/image_42.jpg
a man in a light blue shirt and black pants,Fashion_images/image_43.jpg
a woman in a white tank top and denim shorts,Fashion_images/image_44.jpg
a man in a grey sweatshirt and pants,Fashion_images/image_45.jpg
a woman in a dress and boots posing for a picture,Fashion_images/image_46.jpg
a man wearing a black tank top with a leopard print pocket,Fashion_images/image_47.jpg
a man in a blue tank top and grey shorts,Fashion_images/image_48.jpg
a woman in a grey top and black shorts,Fashion_images/image_49.jpg
a man in a green and brown jacket,Fashion_images/image_50.jpg
a woman in a black and white striped sweater,Fashion_images/image_51.jpg
a man wearing a black shirt and tan pants,Fashion_images/image_52.jpg
