ID,Gender,Skin Tone,Context,Instruction,StylePref,Output
1, , ,Greetings,Good morning, ,Good morning! How may I assist you today?
2, , ,Greetings,Hey there, ,Hey there! What's going on?
3, , ,Greetings,Hello, ,Hello! How can I help you?
4, , ,Greetings,Hi, ,Hi! What can I do for you?
5, , ,Greetings,Good afternoon, ,Good afternoon! How can I be of service?
6, , ,Greetings,What's up, ,Hey! What's up?
7, , ,Greetings,Good evening, ,Good evening! How may I assist you?
8, , ,Greetings,Hey, ,Hey! What's on your mind?
9, , ,Greetings,Good day, ,Good day! How can I assist you today?
10, , ,Greetings,Howdy, ,Howdy! What can I help you with?
11, , ,Greetings,Hi there, ,Hi there! What brings you here today?
12, , ,Greetings,Yo, ,Yo! Need any help?
13, , ,Greetings,What's happening, ,Hey! What's happening?
14, , ,Greetings,Salutations, ,Salutations! What can I do for you?
15, , ,Greetings,Good to see you, ,Good to see you! What can I help you with?
16, , ,Greetings,How's it going, ,Hey! How's it going?
17, , ,Greetings,Long time no see, ,Long time no see! How can I assist you?
18, , ,Greetings,What's new, ,Hey! What's new?
19, , ,Greetings,How's everything, ,Hi! How's everything with you?
20, , ,Greetings,Welcome, ,Welcome! How can I be of service?
21, , ,Thanking,Thank You, ,Your Welcome! Be sure to let me know if you need any assistance.
22, , ,Thanking,Thanks, , My Pleasure! If you need any more assistance ask me.
23, , ,Thanking,Thank you for you help, ,Your Welcome!
24, , ,Thanking,Thank you for the support, ,Glad I could help!
25, , ,Thanking,Thanks a lot, ,Happy to assist!
26, , ,Thanking,Thank you very much, ,You're welcome!
27, , ,Thanking,Many thanks, ,Anytime!
28, , ,Thanking,I appreciate it, ,You're welcome! Glad to help.
29, , ,Thanking,Thanks for everything, ,You're very welcome!
30, , ,Thanking,Thanks a ton, ,No problem!
31, , ,Thanking,Thanks for your assistance, ,Happy to help!
32, , ,Thanking,Thank you for your time, ,Of course! Anytime you need me.
33, , ,Thanking,Thank you so much, ,You're welcome! My pleasure.
34, , ,Thanking,Thank you! I appreciate it, ,No problem at all.
35, , ,Thanking,Thanks for your help, ,You're welcome! Let me know if you need anything else.
36, , ,Thanking,I'm grateful, ,You're welcome! Glad to be of service.
37, , ,Thanking,Thanks for your support, ,Always here to help!
38, , ,Thanking,Thank you! You're amazing, ,Thank you! So are you.
39, , ,Thanking,Thanks for being there, ,It's my pleasure.
40, , ,Thanking,Thanks a bunch, ,Anytime!
41,Male,Tan,Style Query,Suggest a Formal attire for a wedding,Dark colors preferred,Here are some suggestions for a formal wedding attire: 1. Black tailored suit with a white dress shirt and a silver tie. 2. Navy blue tuxedo with a black silk lapel and a crisp white shirt. 3. Charcoal gray three-piece suit with a light blue shirt and a patterned tie. 4. Classic black suit with a black satin peak lapel and a black silk bow tie.
42,Female,Pale,Style Query,Recommend a casual outfit for a summer picnic,Bright and vibrant colors,Here are some suggestions for a casual summer picnic outfit: 1. Light floral midi dress with pastel sandals and a sun hat. 2. Striped linen jumpsuit with espadrille flats and a wide-brimmed hat. 3. Denim midi skirt with a tucked-in sleeveless blouse and sneakers. 4. High-waisted wide-leg trousers with a breezy off-shoulder top.
43,Female,Brown,Style Query,Suggest an outfit for a job interview,Prefer neutral tones,Here are some suggestions for a job interview outfit: 1. Brown blazer with a cream blouse and tailored trousers paired with nude heels. 2. Camel-colored pencil skirt with a white button-down shirt and a statement belt. 3. Beige sheath dress with a structured blazer and closed-toe pumps. 4. Taupe pantsuit with a silk blouse and classic pumps.
44,Male,Tan,Style Query,What's a trendy outfit for a music festival?,Colorful and energetic,Here are some suggestions for a trendy music festival outfit: 1. Graphic black T-shirt khaki chinos with comfortable sneakers and a patterned bandana. 2. Tie-dye button-down shirt with distressed denim jeans and high-top sneakers. 3. Colorful patterned shorts with a solid color tank top and canvas sneakers. 4. Bohemian-inspired shirt with cargo shorts and leather sandals.
45,Female,White,Style Query,How should I style a formal shirt with a suit for an office meeting,Blue colored shirt,Here are some suggestions for styling a formal shirt with a suit for an office meeting: 1. Navy blue suit with a light blue shirt a silk tie and black leather shoes. 2. Charcoal gray suit with a blue shirt a patterned tie and brown leather shoes. 3. Light gray suit with a navy blue shirt a striped tie and black Oxford shoes. 4. Black suit with a white shirt a red tie and black patent leather shoes.
